"Year","fuel","scenario","value"
2048,"Other","Low oil and gas resource and technology MMmt CO2",12.903981
2047,"Other","Low oil and gas resource and technology MMmt CO2",12.895365
2046,"Other","Low oil and gas resource and technology MMmt CO2",12.87822
2045,"Other","Low oil and gas resource and technology MMmt CO2",12.870604
2044,"Other","Low oil and gas resource and technology MMmt CO2",12.851295
2043,"Other","Low oil and gas resource and technology MMmt CO2",12.83342
2042,"Other","Low oil and gas resource and technology MMmt CO2",12.806714
2041,"Other","Low oil and gas resource and technology MMmt CO2",12.778124
2040,"Other","Low oil and gas resource and technology MMmt CO2",12.743706
2039,"Other","Low oil and gas resource and technology MMmt CO2",12.707322
2038,"Other","Low oil and gas resource and technology MMmt CO2",12.692602
2037,"Other","Low oil and gas resource and technology MMmt CO2",12.673507
2036,"Other","Low oil and gas resource and technology MMmt CO2",12.646888
2035,"Other","Low oil and gas resource and technology MMmt CO2",12.587546
2034,"Other","Low oil and gas resource and technology MMmt CO2",12.503771
2033,"Other","Low oil and gas resource and technology MMmt CO2",12.451894
2032,"Other","Low oil and gas resource and technology MMmt CO2",12.390058
2031,"Other","Low oil and gas resource and technology MMmt CO2",12.310914
2030,"Other","Low oil and gas resource and technology MMmt CO2",12.248055
2029,"Other","Low oil and gas resource and technology MMmt CO2",12.199064
2028,"Other","Low oil and gas resource and technology MMmt CO2",12.149096
2027,"Other","Low oil and gas resource and technology MMmt CO2",12.074965
2026,"Other","Low oil and gas resource and technology MMmt CO2",11.981566
2025,"Other","Low oil and gas resource and technology MMmt CO2",11.936386
2024,"Other","Low oil and gas resource and technology MMmt CO2",11.873916
2023,"Other","Low oil and gas resource and technology MMmt CO2",11.823144
2022,"Other","Low oil and gas resource and technology MMmt CO2",11.756749
2021,"Other","Low oil and gas resource and technology MMmt CO2",11.70752
2020,"Other","Low oil and gas resource and technology MMmt CO2",11.68649
2019,"Other","Low oil and gas resource and technology MMmt CO2",11.667678
2018,"Other","Low oil and gas resource and technology MMmt CO2",11.663636
2017,"Other","Low oil and gas resource and technology MMmt CO2",11.650101
2050,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.759143
2049,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.737444
2048,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.721838
2047,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.694241
2046,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.676505
2045,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.635178
2044,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.600949
2043,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.559289
2042,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.532604
2041,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.51272
2040,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.488709
2039,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.467138
2038,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.446134
2037,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.422551
2036,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.397947
2035,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.369616
2034,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.335012
2033,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.284669
2032,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.236935
2031,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.189053
2030,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.113466
2029,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.046885
2028,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.975236
2027,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.902133
2026,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.835047
2025,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.787724
2024,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.734626
2023,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.672891
2022,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.604795
2021,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.544914
2020,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.499091
2019,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.500975
2018,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.501672
2017,"Other","AEO2018 without Clean Power Plan MMmt CO2",11.508928
2050,"Total","Reference case MMmt CO2",5019.435059
2049,"Total","Reference case MMmt CO2",4999.008301
2048,"Total","Reference case MMmt CO2",4985.723145
2047,"Total","Reference case MMmt CO2",4960.033203
2046,"Total","Reference case MMmt CO2",4941.621094
2045,"Total","Reference case MMmt CO2",4927.332031
2044,"Total","Reference case MMmt CO2",4901.607422
2043,"Total","Reference case MMmt CO2",4882.719238
2042,"Total","Reference case MMmt CO2",4872.26709
2041,"Total","Reference case MMmt CO2",4860.300293
2040,"Total","Reference case MMmt CO2",4855.758789
2039,"Total","Reference case MMmt CO2",4841.079102
2038,"Total","Reference case MMmt CO2",4837.70459
2037,"Total","Reference case MMmt CO2",4831.463379
2036,"Total","Reference case MMmt CO2",4830.158691
2035,"Total","Reference case MMmt CO2",4830.092773
2034,"Total","Reference case MMmt CO2",4837.774902
2033,"Total","Reference case MMmt CO2",4851.078613
2032,"Total","Reference case MMmt CO2",4861.759766
2031,"Total","Reference case MMmt CO2",4884.848633
2030,"Total","Reference case MMmt CO2",4902.97168
2029,"Total","Reference case MMmt CO2",4919.817383
2028,"Total","Reference case MMmt CO2",4927.348145
2027,"Total","Reference case MMmt CO2",4935.13916
2026,"Total","Reference case MMmt CO2",4958.641113
2025,"Total","Reference case MMmt CO2",4976.726074
2024,"Total","Reference case MMmt CO2",4994.32373
2023,"Total","Reference case MMmt CO2",5014.93457
2022,"Total","Reference case MMmt CO2",5038.010254
2021,"Total","Reference case MMmt CO2",5050.218262
2020,"Total","Reference case MMmt CO2",5115.720215
2019,"Total","Reference case MMmt CO2",5216.536621
2018,"Total","Reference case MMmt CO2",5249.700684
2017,"Total","Reference case MMmt CO2",5146.956543
2050,"Total","High economic growth MMmt CO2",5398.587891
2049,"Total","High economic growth MMmt CO2",5358.549805
2048,"Total","High economic growth MMmt CO2",5329.378906
2047,"Total","High economic growth MMmt CO2",5289.284668
2046,"Total","High economic growth MMmt CO2",5264.779785
2045,"Total","High economic growth MMmt CO2",5243.118164
2044,"Total","High economic growth MMmt CO2",5213.812012
2043,"Total","High economic growth MMmt CO2",5184.01123
2042,"Total","High economic growth MMmt CO2",5155.632812
2041,"Total","High economic growth MMmt CO2",5131.629395
2040,"Total","High economic growth MMmt CO2",5105.429199
2039,"Total","High economic growth MMmt CO2",5086.951172
2038,"Total","High economic growth MMmt CO2",5061.20459
2037,"Total","High economic growth MMmt CO2",5026.43457
2036,"Total","High economic growth MMmt CO2",4999.743652
2035,"Total","High economic growth MMmt CO2",4985.20459
2034,"Total","High economic growth MMmt CO2",4978.097168
2033,"Total","High economic growth MMmt CO2",4975.606445
2032,"Total","High economic growth MMmt CO2",4988.480957
2031,"Total","High economic growth MMmt CO2",4990.265137
2030,"Total","High economic growth MMmt CO2",4999.075684
2029,"Total","High economic growth MMmt CO2",4997.260254
2028,"Total","High economic growth MMmt CO2",5001.654785
2027,"Total","High economic growth MMmt CO2",5001.828125
2026,"Total","High economic growth MMmt CO2",5013.147461
2025,"Total","High economic growth MMmt CO2",5029.566406
2024,"Total","High economic growth MMmt CO2",5038.611328
2023,"Total","High economic growth MMmt CO2",5050.385742
2022,"Total","High economic growth MMmt CO2",5071.848145
2021,"Total","High economic growth MMmt CO2",5076.439453
2020,"Total","High economic growth MMmt CO2",5128.797852
2019,"Total","High economic growth MMmt CO2",5223.006836
2018,"Total","High economic growth MMmt CO2",5251.459473
2017,"Total","High economic growth MMmt CO2",5146.956543
2050,"Total","Low economic growth MMmt CO2",4605.677734
2049,"Total","Low economic growth MMmt CO2",4595.766113
2048,"Total","Low economic growth MMmt CO2",4592.81543
2047,"Total","Low economic growth MMmt CO2",4586.071289
2046,"Total","Low economic growth MMmt CO2",4584.070312
2045,"Total","Low economic growth MMmt CO2",4586.519531
2044,"Total","Low economic growth MMmt CO2",4579.001953
2043,"Total","Low economic growth MMmt CO2",4578.844238
2042,"Total","Low economic growth MMmt CO2",4577.318359
2041,"Total","Low economic growth MMmt CO2",4583.503906
2040,"Total","Low economic growth MMmt CO2",4592.67334
2039,"Total","Low economic growth MMmt CO2",4598.019043
2038,"Total","Low economic growth MMmt CO2",4600.367188
2037,"Total","Low economic growth MMmt CO2",4597.702637
2036,"Total","Low economic growth MMmt CO2",4612.620605
2035,"Total","Low economic growth MMmt CO2",4619.765137
2034,"Total","Low economic growth MMmt CO2",4640.664551
2033,"Total","Low economic growth MMmt CO2",4654.67334
2032,"Total","Low economic growth MMmt CO2",4687.887695
2031,"Total","Low economic growth MMmt CO2",4717.23291
2030,"Total","Low economic growth MMmt CO2",4748.853516
2029,"Total","Low economic growth MMmt CO2",4774.407715
2028,"Total","Low economic growth MMmt CO2",4780.075684
2027,"Total","Low economic growth MMmt CO2",4805.723633
2026,"Total","Low economic growth MMmt CO2",4839.991211
2025,"Total","Low economic growth MMmt CO2",4876.123047
2024,"Total","Low economic growth MMmt CO2",4915.155762
2023,"Total","Low economic growth MMmt CO2",4943.355957
2022,"Total","Low economic growth MMmt CO2",4969.772949
2021,"Total","Low economic growth MMmt CO2",4994.53125
2020,"Total","Low economic growth MMmt CO2",5086.327148
2019,"Total","Low economic growth MMmt CO2",5231.144043
2018,"Total","Low economic growth MMmt CO2",5251.400879
2017,"Total","Low economic growth MMmt CO2",5146.956543
2050,"Total","High oil price MMmt CO2",4708.120605
2049,"Total","High oil price MMmt CO2",4696.444824
2048,"Total","High oil price MMmt CO2",4681.584961
2047,"Total","High oil price MMmt CO2",4671.199219
2046,"Total","High oil price MMmt CO2",4669.127441
2045,"Total","High oil price MMmt CO2",4665.073242
2044,"Total","High oil price MMmt CO2",4665.921387
2043,"Total","High oil price MMmt CO2",4672.027344
2042,"Total","High oil price MMmt CO2",4678.321289
2041,"Total","High oil price MMmt CO2",4685.96582
2040,"Total","High oil price MMmt CO2",4687.803223
2039,"Total","High oil price MMmt CO2",4697.717773
2038,"Total","High oil price MMmt CO2",4704.749023
2037,"Total","High oil price MMmt CO2",4709.691895
2036,"Total","High oil price MMmt CO2",4708.503906
2035,"Total","High oil price MMmt CO2",4711.462402
2034,"Total","High oil price MMmt CO2",4715.685059
2033,"Total","High oil price MMmt CO2",4719.034668
2032,"Total","High oil price MMmt CO2",4708.807617
2031,"Total","High oil price MMmt CO2",4707.36084
2030,"Total","High oil price MMmt CO2",4711.873535
2029,"Total","High oil price MMmt CO2",4720.28125
2028,"Total","High oil price MMmt CO2",4740.412109
2027,"Total","High oil price MMmt CO2",4770.375
2026,"Total","High oil price MMmt CO2",4836.884766
2025,"Total","High oil price MMmt CO2",4878.77832
2024,"Total","High oil price MMmt CO2",4925.450195
2023,"Total","High oil price MMmt CO2",4947.041016
2022,"Total","High oil price MMmt CO2",5000.599121
2021,"Total","High oil price MMmt CO2",5025.967285
2020,"Total","High oil price MMmt CO2",5106.73291
2019,"Total","High oil price MMmt CO2",5225.57666
2018,"Total","High oil price MMmt CO2",5249.455566
2017,"Total","High oil price MMmt CO2",5146.956543
2050,"Total","Low oil price MMmt CO2",5327.829102
2049,"Total","Low oil price MMmt CO2",5281.992188
2048,"Total","Low oil price MMmt CO2",5252.910156
2047,"Total","Low oil price MMmt CO2",5237.898926
2046,"Total","Low oil price MMmt CO2",5202.55957
2045,"Total","Low oil price MMmt CO2",5171.789551
2044,"Total","Low oil price MMmt CO2",5131.805176
2043,"Total","Low oil price MMmt CO2",5101.209473
2042,"Total","Low oil price MMmt CO2",5080.881836
2041,"Total","Low oil price MMmt CO2",5056.629883
2040,"Total","Low oil price MMmt CO2",5038.228516
2039,"Total","Low oil price MMmt CO2",5015.563965
2038,"Total","Low oil price MMmt CO2",5000.445312
2037,"Total","Low oil price MMmt CO2",4975.033691
2036,"Total","Low oil price MMmt CO2",4965.908203
2035,"Total","Low oil price MMmt CO2",4958.066895
2034,"Total","Low oil price MMmt CO2",4951.149902
2033,"Total","Low oil price MMmt CO2",4949.324707
2032,"Total","Low oil price MMmt CO2",4958.584473
2031,"Total","Low oil price MMmt CO2",4953.072754
2030,"Total","Low oil price MMmt CO2",4963.162598
2029,"Total","Low oil price MMmt CO2",4958.202148
2028,"Total","Low oil price MMmt CO2",4975.197266
2027,"Total","Low oil price MMmt CO2",4977.539062
2026,"Total","Low oil price MMmt CO2",4988.453125
2025,"Total","Low oil price MMmt CO2",4998.303223
2024,"Total","Low oil price MMmt CO2",5005.09375
2023,"Total","Low oil price MMmt CO2",5031.268066
2022,"Total","Low oil price MMmt CO2",5045.859863
2021,"Total","Low oil price MMmt CO2",5056.87793
2020,"Total","Low oil price MMmt CO2",5104.326172
2019,"Total","Low oil price MMmt CO2",5218.452637
2018,"Total","Low oil price MMmt CO2",5249.549316
2017,"Total","Low oil price MMmt CO2",5146.956543
2050,"Total","High oil and gas resource and technology MMmt CO2",5197.561523
2049,"Total","High oil and gas resource and technology MMmt CO2",5163.299805
2048,"Total","High oil and gas resource and technology MMmt CO2",5140.010742
2047,"Total","High oil and gas resource and technology MMmt CO2",5114.200684
2046,"Total","High oil and gas resource and technology MMmt CO2",5088.144043
2045,"Total","High oil and gas resource and technology MMmt CO2",5058.734375
2044,"Total","High oil and gas resource and technology MMmt CO2",5032.406738
2043,"Total","High oil and gas resource and technology MMmt CO2",5003.46582
2042,"Total","High oil and gas resource and technology MMmt CO2",4978.887207
2041,"Total","High oil and gas resource and technology MMmt CO2",4963.849609
2040,"Total","High oil and gas resource and technology MMmt CO2",4951.221191
2039,"Total","High oil and gas resource and technology MMmt CO2",4943.838379
2038,"Total","High oil and gas resource and technology MMmt CO2",4934.763672
2037,"Total","High oil and gas resource and technology MMmt CO2",4934.102539
2036,"Total","High oil and gas resource and technology MMmt CO2",4920.424316
2035,"Total","High oil and gas resource and technology MMmt CO2",4910.110352
2034,"Total","High oil and gas resource and technology MMmt CO2",4922.910156
2033,"Total","High oil and gas resource and technology MMmt CO2",4923.092285
2032,"Total","High oil and gas resource and technology MMmt CO2",4932.505859
2031,"Total","High oil and gas resource and technology MMmt CO2",4932.414551
2030,"Total","High oil and gas resource and technology MMmt CO2",4937.360352
2029,"Total","High oil and gas resource and technology MMmt CO2",4916.255859
2028,"Total","High oil and gas resource and technology MMmt CO2",4932.902344
2027,"Total","High oil and gas resource and technology MMmt CO2",4965.605469
2026,"Total","High oil and gas resource and technology MMmt CO2",4995.981934
2025,"Total","High oil and gas resource and technology MMmt CO2",5023.734863
2024,"Total","High oil and gas resource and technology MMmt CO2",5034.675781
2023,"Total","High oil and gas resource and technology MMmt CO2",5032.126953
2022,"Total","High oil and gas resource and technology MMmt CO2",5027.620605
2021,"Total","High oil and gas resource and technology MMmt CO2",5035.560547
2020,"Total","High oil and gas resource and technology MMmt CO2",5094.813965
2019,"Total","High oil and gas resource and technology MMmt CO2",5247.391602
2018,"Total","High oil and gas resource and technology MMmt CO2",5250.993652
2017,"Total","High oil and gas resource and technology MMmt CO2",5146.956543
2050,"Total","Low oil and gas resource and technology MMmt CO2",4790.684082
2049,"Total","Low oil and gas resource and technology MMmt CO2",4768.779297
2048,"Total","Low oil and gas resource and technology MMmt CO2",4751.112793
2047,"Total","Low oil and gas resource and technology MMmt CO2",4729.894043
2046,"Total","Low oil and gas resource and technology MMmt CO2",4711.128418
2045,"Total","Low oil and gas resource and technology MMmt CO2",4684.875977
2044,"Total","Low oil and gas resource and technology MMmt CO2",4676.507324
2043,"Total","Low oil and gas resource and technology MMmt CO2",4677.299805
2042,"Total","Low oil and gas resource and technology MMmt CO2",4664.878418
2041,"Total","Low oil and gas resource and technology MMmt CO2",4673.626953
2040,"Total","Low oil and gas resource and technology MMmt CO2",4672.237793
2039,"Total","Low oil and gas resource and technology MMmt CO2",4675.342773
2038,"Total","Low oil and gas resource and technology MMmt CO2",4683.871582
2037,"Total","Low oil and gas resource and technology MMmt CO2",4686.708496
2036,"Total","Low oil and gas resource and technology MMmt CO2",4686.620605
2035,"Total","Low oil and gas resource and technology MMmt CO2",4685.355957
2034,"Total","Low oil and gas resource and technology MMmt CO2",4708.138184
2033,"Total","Low oil and gas resource and technology MMmt CO2",4720.166504
2032,"Total","Low oil and gas resource and technology MMmt CO2",4740.898438
2031,"Total","Low oil and gas resource and technology MMmt CO2",4755.319824
2030,"Total","Low oil and gas resource and technology MMmt CO2",4780.068359
2029,"Total","Low oil and gas resource and technology MMmt CO2",4804.661133
2028,"Total","Low oil and gas resource and technology MMmt CO2",4836.637207
2027,"Total","Low oil and gas resource and technology MMmt CO2",4860.604492
2026,"Total","Low oil and gas resource and technology MMmt CO2",4895.835938
2025,"Total","Low oil and gas resource and technology MMmt CO2",4928.90332
2024,"Total","Low oil and gas resource and technology MMmt CO2",4949.790527
2023,"Total","Low oil and gas resource and technology MMmt CO2",4976.373047
2022,"Total","Low oil and gas resource and technology MMmt CO2",5040.764648
2021,"Total","Low oil and gas resource and technology MMmt CO2",5071.57666
2020,"Total","Low oil and gas resource and technology MMmt CO2",5123.22168
2019,"Total","Low oil and gas resource and technology MMmt CO2",5196.609375
2018,"Total","Low oil and gas resource and technology MMmt CO2",5251.758301
2017,"Total","Low oil and gas resource and technology MMmt CO2",5146.956543
2050,"Total","AEO2018 without Clean Power Plan MMmt CO2",5278.694824
2049,"Total","AEO2018 without Clean Power Plan MMmt CO2",5247.441406
2048,"Total","AEO2018 without Clean Power Plan MMmt CO2",5217.349609
2047,"Total","AEO2018 without Clean Power Plan MMmt CO2",5192.442383
2046,"Total","AEO2018 without Clean Power Plan MMmt CO2",5170.994629
2045,"Total","AEO2018 without Clean Power Plan MMmt CO2",5158.992676
2044,"Total","AEO2018 without Clean Power Plan MMmt CO2",5144.179199
2043,"Total","AEO2018 without Clean Power Plan MMmt CO2",5122.162598
2042,"Total","AEO2018 without Clean Power Plan MMmt CO2",5104.822754
2041,"Total","AEO2018 without Clean Power Plan MMmt CO2",5094.998047
2040,"Total","AEO2018 without Clean Power Plan MMmt CO2",5080.412109
2039,"Total","AEO2018 without Clean Power Plan MMmt CO2",5067.51709
2038,"Total","AEO2018 without Clean Power Plan MMmt CO2",5055.958496
2037,"Total","AEO2018 without Clean Power Plan MMmt CO2",5045.25293
2036,"Total","AEO2018 without Clean Power Plan MMmt CO2",5035.44043
2035,"Total","AEO2018 without Clean Power Plan MMmt CO2",5023.947266
2034,"Total","AEO2018 without Clean Power Plan MMmt CO2",5024.732422
2033,"Total","AEO2018 without Clean Power Plan MMmt CO2",5022.008789
2032,"Total","AEO2018 without Clean Power Plan MMmt CO2",5030.085449
2031,"Total","AEO2018 without Clean Power Plan MMmt CO2",5043.034668
2030,"Total","AEO2018 without Clean Power Plan MMmt CO2",5053.151367
2029,"Total","AEO2018 without Clean Power Plan MMmt CO2",5059.814941
2028,"Total","AEO2018 without Clean Power Plan MMmt CO2",5062.068848
2027,"Total","AEO2018 without Clean Power Plan MMmt CO2",5067.150879
2026,"Total","AEO2018 without Clean Power Plan MMmt CO2",5074.818848
2025,"Total","AEO2018 without Clean Power Plan MMmt CO2",5079.057129
2024,"Total","AEO2018 without Clean Power Plan MMmt CO2",5085.529785
2023,"Total","AEO2018 without Clean Power Plan MMmt CO2",5077.725586
2022,"Total","AEO2018 without Clean Power Plan MMmt CO2",5087.94043
2021,"Total","AEO2018 without Clean Power Plan MMmt CO2",5136.324219
2020,"Total","AEO2018 without Clean Power Plan MMmt CO2",5186.887207
2019,"Total","AEO2018 without Clean Power Plan MMmt CO2",5229.712891
2018,"Total","AEO2018 without Clean Power Plan MMmt CO2",5256.842773
2017,"Total","AEO2018 without Clean Power Plan MMmt CO2",5150.503906
